variable,type
MSSubClass,nominal
MSZoning,nominal
LotFrontage,continuous
LotArea,continuous
Street,nominal
Alley,nominal
LotShape,nominal
LandContour,nominal
Utilities,nominal
LotConfig,nominal
LandSlope,ordinal
Neighborhood,nominal
Condition1,nominal
Condition2,nominal
BldgType,nominal
HouseStyle,nominal
OverallQual,ordinal
OverallCond,ordinal
YearBuilt,continuous
YearRemodAdd,continuous
RoofStyle,nominal
RoofMatl,nominal
Exterior1st,nominal
Exterior2nd,nominal
MasVnrType,nominal
MasVnrArea,continuous
ExterQual,ordinal
ExterCond,ordinal
Foundation,nominal
BsmtQual,ordinal
BsmtCond,ordinal
BsmtExposure,ordinal
BsmtFinType1,ordinal
BsmtFinSF1,continuous
BsmtFinType2,ordinal
BsmtFinSF2,continuous
BsmtUnfSF,continuous
TotalBsmtSF,continuous
Heating,nominal
HeatingQC,ordinal
CentralAir,nominal
Electrical,nominal
1stFlrSF,continuous
2ndFlrSF,continuous
LowQualFinSF,continuous
GrLivArea,continuous
BsmtFullBath,discrete
BsmtHalfBath,discrete
FullBath,discrete
HalfBath,discrete
BedroomAbvGr,discrete
KitchenAbvGr,discrete
KitchenQual,ordinal
TotRmsAbvGrd,discrete
Functional,ordinal
Fireplaces,discrete
FireplaceQu,ordinal
GarageType,nominal
GarageYrBlt,continuous
GarageFinish,nominal
GarageCars,discrete
GarageArea,continuous
GarageQual,ordinal
GarageCond,ordinal
PavedDrive,nominal
WoodDeckSF,continuous
OpenPorchSF,continuous
EnclosedPorch,continuous
3SsnPorch,continuous
ScreenPorch,continuous
PoolArea,continuous
PoolQC,ordinal
Fence,nominal
MiscFeature,nominal
MiscVal,continuous
MoSold,discrete
YrSold,nominal
SaleType,nominal
SaleCondition,nominal
SalePrice,response
