,wpi,t,ln_wpi
0,30.700000762939453,1960-01-01,3.424262762069702
1,30.799999237060547,1960-04-01,3.4275145530700684
2,30.700000762939453,1960-07-01,3.424262762069702
3,30.700000762939453,1960-10-01,3.424262762069702
4,30.799999237060547,1961-01-01,3.4275145530700684
5,30.5,1961-04-01,3.417726755142212
6,30.5,1961-07-01,3.417726755142212
7,30.600000381469727,1961-10-01,3.4210000038146973
8,30.700000762939453,1962-01-01,3.424262762069702
9,30.600000381469727,1962-04-01,3.4210000038146973
10,30.700000762939453,1962-07-01,3.424262762069702
11,30.700000762939453,1962-10-01,3.424262762069702
12,30.600000381469727,1963-01-01,3.4210000038146973
13,30.5,1963-04-01,3.417726755142212
14,30.600000381469727,1963-07-01,3.4210000038146973
15,30.700000762939453,1963-10-01,3.424262762069702
16,30.700000762939453,1964-01-01,3.424262762069702
17,30.600000381469727,1964-04-01,3.4210000038146973
18,30.700000762939453,1964-07-01,3.424262762069702
19,30.700000762939453,1964-10-01,3.424262762069702
20,30.899999618530273,1965-01-01,3.430756092071533
21,31.200000762939453,1965-04-01,3.440418004989624
22,31.399999618530273,1965-07-01,3.446807861328125
23,31.600000381469727,1965-10-01,3.4531571865081787
24,32.099998474121094,1966-01-01,3.4688560962677
25,32.20000076293945,1966-04-01,3.471966505050659
26,32.599998474121094,1966-07-01,3.4843122959136963
27,32.400001525878906,1966-10-01,3.478158473968506
28,32.29999923706055,1967-01-01,3.475067138671875
29,32.29999923706055,1967-04-01,3.475067138671875
30,32.400001525878906,1967-07-01,3.478158473968506
31,32.5,1967-10-01,3.4812400341033936
32,32.900001525878906,1968-01-01,3.4934728145599365
33,33.099998474121094,1968-04-01,3.499533176422119
34,33.29999923706055,1968-07-01,3.5055572986602783
35,33.400001525878906,1968-10-01,3.5085558891296387
36,33.900001525878906,1969-01-01,3.5234150886535645
37,34.400001525878906,1969-04-01,3.5380566120147705
38,34.70000076293945,1969-07-01,3.5467398166656494
39,35.0,1969-10-01,3.5553481578826904
40,35.5,1970-01-01,3.569532632827759
41,35.70000076293945,1970-04-01,3.575150728225708
42,35.900001525878906,1970-07-01,3.580737352371216
43,35.900001525878906,1970-10-01,3.580737352371216
44,36.5,1971-01-01,3.5973122119903564
45,36.900001525878906,1971-04-01,3.6082115173339844
46,37.20000076293945,1971-07-01,3.6163086891174316
47,37.20000076293945,1971-10-01,3.6163086891174316
48,37.900001525878906,1972-01-01,3.634951114654541
49,38.29999923706055,1972-04-01,3.6454498767852783
50,38.79999923706055,1972-07-01,3.6584203243255615
51,39.20000076293945,1972-10-01,3.6686768531799316
52,41.099998474121094,1973-01-01,3.716008186340332
53,43.099998474121094,1973-04-01,3.7635228633880615
54,44.900001525878906,1973-07-01,3.8044378757476807
55,45.29999923706055,1973-10-01,3.813307046890259
56,48.29999923706055,1974-01-01,3.877431631088257
57,50.0,1974-04-01,3.9120230674743652
58,53.599998474121094,1974-07-01,3.981549024581909
59,55.400001525878906,1974-10-01,4.014579772949219
60,55.400001525878906,1975-01-01,4.014579772949219
61,56.0,1975-04-01,4.025351524353027
62,57.20000076293945,1975-07-01,4.046554088592529
63,57.79999923706055,1975-10-01,4.056988716125488
64,58.099998474121094,1976-01-01,4.0621657371521
65,59.0,1976-04-01,4.077537536621094
66,59.70000076293945,1976-07-01,4.089332103729248
67,60.20000076293945,1976-10-01,4.097672462463379
68,61.599998474121094,1977-01-01,4.120661735534668
69,63.0,1977-04-01,4.143134593963623
70,63.099998474121094,1977-07-01,4.144720554351807
71,63.900001525878906,1977-10-01,4.15731954574585
72,65.4000015258789,1978-01-01,4.180522441864014
73,67.4000015258789,1978-04-01,4.2106451988220215
74,68.4000015258789,1978-07-01,4.225372791290283
75,70.0,1978-10-01,4.248495101928711
76,72.5,1979-01-01,4.283586502075195
77,75.0999984741211,1979-04-01,4.318820476531982
78,77.4000015258789,1979-07-01,4.348986625671387
79,80.19999694824219,1979-10-01,4.384523391723633
80,83.9000015258789,1980-01-01,4.429625511169434
81,85.5999984741211,1980-04-01,4.449685096740723
82,88.4000015258789,1980-07-01,4.481872081756592
83,90.4000015258789,1980-10-01,4.504244327545166
84,93.0999984741211,1981-01-01,4.533674240112305
85,95.19999694824219,1981-04-01,4.5559797286987305
86,95.9000015258789,1981-07-01,4.563305854797363
87,95.80000305175781,1981-10-01,4.562262535095215
88,96.5999984741211,1982-01-01,4.570578575134277
89,96.69999694824219,1982-04-01,4.571613311767578
90,97.0999984741211,1982-07-01,4.575741291046143
91,97.19999694824219,1982-10-01,4.576770782470703
92,97.30000305175781,1983-01-01,4.577798843383789
93,97.5999984741211,1983-04-01,4.580877304077148
94,98.5999984741211,1983-07-01,4.591071128845215
95,99.0999984741211,1983-10-01,4.596129417419434
96,100.19999694824219,1984-01-01,4.607168197631836
97,100.80000305175781,1984-04-01,4.613138198852539
98,100.5999984741211,1984-07-01,4.611152172088623
99,100.30000305175781,1984-10-01,4.608165740966797
100,100.0999984741211,1985-01-01,4.606169700622559
101,100.19999694824219,1985-04-01,4.607168197631836
102,99.5,1985-07-01,4.600157737731934
103,100.0999984741211,1985-10-01,4.606169700622559
104,98.5999984741211,1986-01-01,4.591071128845215
105,96.80000305175781,1986-04-01,4.5726470947265625
106,96.30000305175781,1986-07-01,4.567468166351318
107,96.69999694824219,1986-10-01,4.571613311767578
108,97.80000305175781,1987-01-01,4.582924842834473
109,99.4000015258789,1987-04-01,4.599152088165283
110,100.5,1987-07-01,4.610157489776611
111,101.0,1987-10-01,4.6151204109191895
112,101.5999984741211,1988-01-01,4.621043682098389
113,103.19999694824219,1988-04-01,4.636668682098389
114,104.69999694824219,1988-07-01,4.65109920501709
115,105.19999694824219,1988-10-01,4.655863285064697
116,107.5,1989-01-01,4.677490711212158
117,109.4000015258789,1989-04-01,4.695011138916016
118,109.0,1989-07-01,4.691348075866699
119,109.4000015258789,1989-10-01,4.695011138916016
120,111.0,1990-01-01,4.709530353546143
121,110.80000305175781,1990-04-01,4.707726955413818
122,112.80000305175781,1990-07-01,4.725616455078125
123,116.19999694824219,1990-10-01,4.755312919616699
